學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),進修交流國家(地區)別,進修交流國家(地區)區域別,本國學生出國進修交流至少1學期(修讀學分)以上人數小計,本國學生出國進修交流至少1學期(修讀學分)以上人數男,本國學生出國進修交流至少1學期(修讀學分)以上人數女,本國學生出國進修交流未滿1學期(修讀學分)人數小計,本國學生出國進修交流未滿1學期(修讀學分)人數男,本國學生出國進修交流未滿1學期(修讀學分)人數女
105,1,公立,技專校院,22,國立臺灣科技大學,2122005,創意設計學士班,學士班(日間),日本,其他亞洲地區,1,0,1,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,2122005,創意設計學士班,學士班(日間),法國,歐洲,1,0,1,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,2122005,創意設計學士班,學士班(日間),德意志聯邦共和國,歐洲,1,0,1,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,2122006,工商業設計系,學士班(日間),大陸地區,大陸地區,1,0,1,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,2122006,工商業設計系,碩士班(日間),義大利共和國,歐洲,1,0,1,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,2122006,工商業設計系,碩士班(日間),荷蘭王國,歐洲,1,1,0,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,2311003,應用外語系,學士班(日間),大韓民國(南韓),其他亞洲地區,3,0,3,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,2311003,應用外語系,學士班(日間),法國,歐洲,1,0,1,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,2311003,應用外語系,學士班(日間),波蘭共和國,歐洲,1,0,1,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,2311003,應用外語系,學士班(日間),西班牙王國,歐洲,1,0,1,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,2311003,應用外語系,學士班(日間),德意志聯邦共和國,歐洲,1,0,1,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,2311003,應用外語系,學士班(日間),加拿大,北美洲,1,0,1,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,2311003,應用外語系,學士班(日間),美國,北美洲,1,1,0,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,4121010,財務金融研究所,碩士班(日間),奧地利共和國,歐洲,1,0,1,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,4121010,財務金融研究所,碩士班(日間),荷蘭王國,歐洲,1,0,1,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,4121010,財務金融研究所,碩士班(日間),瑞士聯邦,歐洲,1,0,1,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,4131008,企業管理系,學士班(日間),大陸地區,大陸地區,3,1,2,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,4131008,企業管理系,碩士班(日間),大陸地區,大陸地區,1,1,0,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,4131008,企業管理系,學士班(日間),奧地利共和國,歐洲,2,1,1,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,4131008,企業管理系,學士班(日間),捷克共和國,歐洲,1,0,1,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,4131008,企業管理系,學士班(日間),法國,歐洲,1,0,1,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,4131008,企業管理系,學士班(日間),西班牙王國,歐洲,4,2,2,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,4131008,企業管理系,學士班(日間),德意志聯邦共和國,歐洲,2,1,1,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,4131008,企業管理系,碩士班(日間),奧地利共和國,歐洲,2,1,1,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,4131008,企業管理系,碩士班(日間),芬蘭共和國,歐洲,1,0,1,0,0,0
105,1,公立,技專校院,22,國立臺灣科技大學,4131008,企業管理系,碩士班(日間),西班牙王國,歐洲,1,0,1,0,0,0
